date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:58:31	105/105	---M--	200	added ('OK')	text/plain	date:Mon,%2013%20Jul%202020%2009:05:14%20GMT	https://ynaps.com/robots.txt		(from )
08:58:31	222426/222426	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Sep%202020%2014:07:45%20GMT	https://ynaps.com/blog/	C:/Users/NARADA/OneDrive/Desktop/template/template2/aumex/ynaps.com/blog/index.html	(from )
08:58:34	125204/125204	---M--	200	added ('OK')	text/css	date:Tue,%2008%20Sep%202020%2009:32:23%20GMT	http://ynaps.com/blog/wp-content/cache/wpfc-minified/89lmjy61/a1bs3.css	C:/Users/NARADA/OneDrive/Desktop/template/template2/aumex/ynaps.com/blog/wp-content/cache/wpfc-minified/89lmjy61/a1bs3.css	(from https://ynaps.com/blog/)
08:58:34	127833/127833	---M--	200	added ('OK')	text/css	date:Tue,%2008%20Sep%202020%2009:32:23%20GMT	http://ynaps.com/blog/wp-content/cache/wpfc-minified/foic0f5j/a1bs3.css	C:/Users/NARADA/OneDrive/Desktop/template/template2/aumex/ynaps.com/blog/wp-content/cache/wpfc-minified/foic0f5j/a1bs3.css	(from https://ynaps.com/blog/)
08:58:46	978259/978259	---M--	200	added ('OK')	text/css	date:Tue,%2008%20Sep%202020%2009:32:23%20GMT	http://ynaps.com/blog/wp-content/cache/wpfc-minified/e5xqsogu/a1bs3.css	C:/Users/NARADA/OneDrive/Desktop/template/template2/aumex/ynaps.com/blog/wp-content/cache/wpfc-minified/e5xqsogu/a1bs3.css	(from https://ynaps.com/blog/)
08:58:47	847/847	---M--	200	added ('OK')	image/gif	date:Tue,%2014%20Jul%202020%2012:25:13%20GMT	http://ynaps.com/blog/wp-content/plugins/contact-form-7/images/ajax-loader.gif	C:/Users/NARADA/OneDrive/Desktop/template/template2/aumex/ynaps.com/blog/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from http://ynaps.com/blog/wp-content/cache/wpfc-minified/89lmjy61/a1bs3.css)
08:58:47	1948/1948	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2011%20Jun%202020%2011:38:47%20GMT	http://ynaps.com/blog/wp-content/plugins/td-composer/td-multi-purpose/images/icons/multipurpose.eot?2	C:/Users/NARADA/OneDrive/Desktop/template/template2/aumex/ynaps.com/blog/wp-content/plugins/td-composer/td-multi-purpose/images/icons/multipurposec81e.eot	(from http://ynaps.com/blog/wp-content/cache/wpfc-minified/89lmjy61/a1bs3.css)
08:58:49	96957/96957	---M--	200	added ('OK')	application/javascript	date:Tue,%2008%20Sep%202020%2009:32:23%20GMT	http://ynaps.com/blog/wp-content/cache/wpfc-minified/rxz245/a1bs3.js	C:/Users/NARADA/OneDrive/Desktop/template/template2/aumex/ynaps.com/blog/wp-content/cache/wpfc-minified/rxz245/a1bs3.js	(from https://ynaps.com/blog/)
08:58:49	4324/4324	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Jun%202020%2011:38:46%20GMT	http://ynaps.com/blog/wp-content/plugins/td-composer/legacy/Newspaper/assets/images/sprite/elements.png	C:/Users/NARADA/OneDrive/Desktop/template/template2/aumex/ynaps.com/blog/wp-content/plugins/td-composer/legacy/Newspaper/assets/images/sprite/elements.png	(from http://ynaps.com/blog/wp-content/cache/wpfc-minified/e5xqsogu/a1bs3.css)
08:58:50	6044/6044	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2011%20Jun%202020%2011:38:46%20GMT	http://ynaps.com/blog/wp-content/plugins/td-composer/legacy/Newspaper/assets/images/icons/newspaper-icons.eot?1	C:/Users/NARADA/OneDrive/Desktop/template/template2/aumex/ynaps.com/blog/wp-content/plugins/td-composer/legacy/Newspaper/assets/images/icons/newspaper-iconsc4ca.eot	(from http://ynaps.com/blog/wp-content/cache/wpfc-minified/e5xqsogu/a1bs3.css)
08:58:52	10839/10839	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Jun%202020%2011:38:46%20GMT	http://ynaps.com/blog/wp-content/plugins/td-composer/legacy/Newspaper/assets/images/sprite/elements@2x.png	C:/Users/NARADA/OneDrive/Desktop/template/template2/aumex/ynaps.com/blog/wp-content/plugins/td-composer/legacy/Newspaper/assets/images/sprite/elements@2x.png	(from http://ynaps.com/blog/wp-content/cache/wpfc-minified/e5xqsogu/a1bs3.css)
08:58:54	20063/20063	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Jun%202020%2011:38:46%20GMT	http://ynaps.com/blog/wp-content/plugins/td-composer/legacy/Newspaper/assets/images/sprite/weather/clear-sky-d.png	C:/Users/NARADA/OneDrive/Desktop/template/template2/aumex/ynaps.com/blog/wp-content/plugins/td-composer/legacy/Newspaper/assets/images/sprite/weather/clear-sky-d.png	(from http://ynaps.com/blog/wp-content/cache/wpfc-minified/e5xqsogu/a1bs3.css)
